id,area,provider_or_mode,behavior,desktop_status,desktop_evidence,pwa_status,pwa_evidence,parity_class,next_action
T001,terminal,all providers,Raw text keystrokes go directly to the live PTY input channel,working,"src/features/terminal/AgentTerminal.tsx sends xterm onData through send_input_to_agent; src-tauri/src/commands/terminal.rs implements send_input_to_agent; src/features/terminal/AgentTerminal.test.tsx covers direct forwarding",working,"src/features/remote/RemoteAgentDetailView.tsx sends terminal input frames on the terminal attach WebSocket; src-tauri/src/remote/gateway.rs handle_terminal_client_message forwards owner input; RemoteMobileApp.test.tsx covers stdin enablement",matched,Keep covered by existing terminal attach tests
T002,terminal,all providers,Binary terminal input uses a byte-preserving path,working,"AgentTerminal.tsx onBinary invokes send_binary_input_to_agent; src-tauri/src/commands/terminal.rs implements send_binary_input_to_agent; AgentTerminal.test.tsx covers binary input",working,"RemoteAgentDetailView.tsx sends data_base64 frames; gateway.rs decodes binary frames; gateway.rs tests reject oversized base64 input",matched,Keep covered by existing terminal attach tests
T003,terminal,all providers,Terminal resize reports fitted geometry to the backend PTY,working,"AgentTerminal.tsx reports xterm resize through resize_agent_terminal; AgentTerminal.test.tsx covers bursty and column-only resize reporting",working,"RemoteAgentDetailView.tsx sends resize frames; terminal_attach.rs validates owner resize and clamps geometry; RemoteMobileApp.test.tsx covers mobile resize messages",matched,Keep covered by existing mobile resize tests
T004,terminal,remote-specific,Only the active terminal attachment can send input after multiple remote views attach,not_applicable,"Desktop terminal is local single-owner UI; no remote attachment owner concept",working,"terminal_attach.rs promotes most recent attachment and rejects stale owner writes; RemoteMobileApp.test.tsx disables stdin when another attachment becomes owner",pwa_only,Keep as PWA-only network safety behavior
T005,terminal,all providers,Initial terminal history can be loaded without draining the desktop renderer,working,"AgentTerminal.tsx uses read_agent_pty with peek for initial PTY tail; commands/terminal.rs tests bounded non-draining peek",working,"terminal_attach.rs replays initial_output for client scrollback; remote operations keep terminal snapshot non-draining; RemoteMobileApp.test.tsx verifies terminal stream rather than polling",matched,Keep terminal attach as primary PWA path
T006,terminal,legacy remote snapshot polling,Remote terminal snapshot endpoint is no longer the active rendering path,working,"remote operations still expose remote_agent_terminal_snapshot for bounded non-draining reads",dead_by_design,"useRemoteStore.refreshActiveAgentTerminal intentionally does not call remoteClient.loadAgentTerminal; RemoteMobileApp.test.tsx asserts no snapshot polling when stream is attached",pwa_only,Leave endpoint as fallback/audit API but do not revive polling renderer
T007,terminal,codex,Codex dark composer background is normalized in light themes,working,"AgentTerminal.tsx normalizes Codex composer frames; AgentTerminal.test.tsx covers light-mode fill and theme replay",working,"RemoteAgentDetailView.tsx calls normalizeRemoteTerminalOutput and normalizeRemoteTerminalLiveOutput; RemoteMobileApp.test.tsx covers snapshot and live Codex composer remapping",matched,Keep shared terminal capability helpers as the parity mechanism
T008,terminal,codex,Codex color probe replies are not typed into the composer,working,"AgentTerminal.tsx strips terminal color report inputs and does not send OSC 10/11 replies to Codex; AgentTerminal.test.tsx covers this",working,"RemoteAgentDetailView.tsx now applies stripTerminalColorReportInputs before sending Codex terminal input frames; RemoteMobileApp.test.tsx covers remote color-report filtering",matched,Keep shared Codex input filter covered on both desktop and PWA paths
T009,terminal,opencode/OpenCode,OpenCode terminal capability probes are answered from theme context before render,working,"AgentTerminal.tsx plans terminal capability responses for OpenCode and tests light-dark probes",working,"RemoteAgentDetailView.tsx runs planTerminalCapabilityResponses against remoteTerminalCapabilityContext before terminal writes and sends outgoing input frames; RemoteMobileApp.test.tsx covers DSR and pixel-size replies",matched,Keep capability-response planning shared between desktop and PWA terminal paths
T010,terminal,opencode/OpenCode,OpenCode synchronized-output and DECRQM noise is stripped before xterm writes,working,"AgentTerminal.test.tsx covers OpenCode synchronized-output toggles and DECRQM stripping",working,"RemoteAgentDetailView.tsx normalizes live update frames through planTerminalCapabilityResponses before xterm writes; RemoteMobileApp.test.tsx covers OpenCode synchronized-output and DECRQM stripping on live updates",matched,Keep live update normalization aligned with desktop terminal planning
T011,terminal,codex/opencode,Provider viewport-redraw TUIs repaint in place without synthetic duplicate history,working,"AgentTerminal.tsx contains provider redraw handling; AgentTerminal.test.tsx covers Codex repaint, scrollback, and non-Codex exclusions",working,"RemoteMobileApp.test.tsx asserts Codex repaint frames render natively and live update frames are not used to reconstruct scrollback",matched,Keep remote behavior intentionally simpler than desktop journaling
T012,terminal,all providers,Terminal mode supports live prompt composition through raw TUI interaction,working,"AgentTerminal forwards direct xterm data and binary input to PTY",working,"Remote TerminalPane enables stdin only when attach ownership is accepted and sends input/binary frames",matched,No PWA parity change needed for raw terminal mode
C001,chat,all providers,Chat input submits through the backend structured prompt delivery path,working,"AgentChatView.tsx calls submitInputToAgent; terminalInput.ts invokes submit_prompt_to_agent; live_surface.rs records delivery detail",working,"useRemoteStore.sendPromptToActiveAgent calls remoteClient.sendPrompt; operations.rs maps send_prompt to submit_live_surface_prompt",matched,Keep remote sends on backend delivery service
C002,chat,codex,Codex structured prompt waits for payload echo before submit,working,"commands/terminal.rs codex_submit_waits_for_prompt_echo_before_enter test covers echo guard; live_surface.rs uses wait_for_codex_payload_echo_before_submit",working,"Remote send_prompt uses the same submit_live_surface_prompt service in operations.rs",matched,No PWA-specific code needed
C003,chat,all providers,Optimistic user message appears after desktop chat submission and clears when transcript confirms it,working,"AgentChatView.tsx creates pending user messages; AgentChatView.test.tsx covers repeated optimistic prompts and confirmation",working,"useRemoteStore creates optimistic remote user messages after accepted prompt actions and removes them once refreshed transcripts confirm the same user text; RemoteMobileApp.test.tsx covers the pending-refresh window",matched,Keep optimistic pending-message confirmation logic covered on desktop and PWA paths
C004,chat,all providers,Chat composer stays editable during processing and action-required states,working,"AgentChatView.tsx inputDisabledReason allows processing and action states; AgentChatView.test.tsx covers editable processing/action-required",working,"RemoteMobileApp.test.tsx covers mobile chat composer editable while selected agent is processing",matched,Keep behavior
C005,chat,approval/action_required,Approval events render as a distinct warning activity outside work groups,working,"commands/chat.rs synthesizes approval events from action-required watch output; AgentChatView.test.tsx covers approval rows outside adjacent work groups",working,"RemoteAgentDetailView.tsx keeps action_required rows outside work groups and gives approval rows warning styling plus action-required guidance; RemoteMobileApp.test.tsx covers the PWA approval row",matched,Keep approval rows outside work groups and covered by remote approval tests
C006,chat,approval/action_required,Parsed approval choices can be submitted from chat UI,working,"AgentChatView.tsx parses yes/no and numbered choices; AgentChatView.test.tsx submits numbered approval choices through submit_prompt_to_agent",working,"RemoteAgentDetailView.tsx uses the shared approval-choice parser and submits choice values through sendPromptToActiveAgent; RemoteMobileApp.test.tsx covers PWA approval choice submission",matched,Keep shared approval choice parser covered by desktop and PWA chat tests
C007,chat,approval_action semantic mode,Semantic approval_action delivery exists for CLI/control but not desktop chat buttons,partial,"control.rs supports MessageInputMode::ApprovalAction and provider approval bytes; CLI supports --approval; AgentChatView currently submits choice text through submit_prompt_to_agent",dead_for_pwa,"remote models validate only send_prompt/pause/resume/clear/kill and expose no approval_action request",out_of_scope_for_now,Do not add semantic approval_action to PWA until desktop chat uses it too
C008,chat,all providers,Markdown messages render with structured/safe markdown,working,"AgentChatView.tsx uses ChatMarkdown; AgentChatView.test.tsx covers markdown structure and unsafe link handling",working,"RemoteAgentDetailView.tsx MessageBubble uses shared ChatMarkdown; RemoteMobileApp.test.tsx covers markdown structure in PWA chat",matched,Keep shared ChatMarkdown coverage across desktop and PWA chat
C009,chat,tool calls,Shell commands/file diffs/search/todo/permission/tool calls get specialized desktop activity rows,working,"AgentChatView.tsx classifies ToolPresentation; AgentChatView.test.tsx covers shell commands, changed files, diff stats, todo, permissions",working,"RemoteAgentDetailView.tsx now uses shared workLogPresentation rows and renders compact PWA activity structure for shell/search/file/permission classes plus diff panels, todo lists, changed-file chips, copy controls, and collapsed output; RemoteMobileApp.test.tsx covers diff, todo, changed files, work logs, approvals, and terminal fallback",matched,Keep desktop and PWA activity presentation helpers aligned
C010,chat,tool calls,Large adjacent work bursts are grouped while small call/result pairs stay inspectable,working,"AgentChatView.tsx derivePresentedChatRows; AgentChatView.test.tsx covers larger batches grouped and small batches expanded",working,"RemoteAgentDetailView.tsx deriveRemoteChatRows groups work bursts; RemoteMobileApp.test.tsx covers concrete tool call details",matched,Keep remote compact grouping
C011,chat,all providers,Older chat rows are lazy loaded to avoid huge DOM mounts,working,"AgentChatView.tsx CHAT_INITIAL_ROW_LIMIT and load-earlier control; AgentChatView.test.tsx covers lazy loading and scroll preservation",working,"RemoteAgentDetailView.tsx applies the same initial row limit and load-earlier affordance for PWA chat rows; RemoteMobileApp.test.tsx covers loading older remote rows",matched,Keep desktop and PWA row-limit constants aligned
C012,chat,all providers,Chat clears immediately when backend clears the agent terminal,working,"AgentChatView.tsx listens for agent-terminal-cleared and tests stale load suppression",working,"useRemoteStore clears active PWA chat and terminal state immediately after a successful remote clear action; RemoteMobileApp.test.tsx covers the pending-refresh window",matched,Consider a future remote stream clear event for multi-client propagation
C013,chat,all providers,Chat refreshes during repeated active status frames,working,"AgentChatView.tsx polls transcript while mounted",working,"useRemoteStore schedules background refresh on processing/running/action-required status frames; RemoteMobileApp.test.tsx covers repeated active status frames",matched,Keep remote throttled refresh
C014,chat,terminal_output fallback,Raw terminal fallback rows stay compact until expanded,working,"AgentChatView.tsx TerminalFallback and AgentChatView.test.tsx cover compact fallback",working,"RemoteAgentDetailView.tsx uses the shared defaultCollapsed activity signal and a Show output control for long PWA activity rows; RemoteMobileApp.test.tsx covers long terminal fallback expansion",matched,Keep shared activity collapse thresholds aligned across desktop and PWA chat
C015,chat,copy actions,Messages/code/activity/work groups expose copy controls,working,"AgentChatView.tsx uses CopyIconButton; AgentChatView.test.tsx covers copy behavior",working,"RemoteAgentDetailView.tsx exposes browser-clipboard copy actions for message, activity, and work-log rows; shared ChatMarkdown code-block copy falls back to navigator.clipboard for PWA use; RemoteMobileApp.test.tsx and ChatMarkdown.test.tsx cover the paths",matched,Keep copy affordances available for new remote activity row types
A001,agent actions,selected agent,Pause/resume/clear/kill lifecycle actions are available in detail view,working,"desktop commands exist in commands/agent.rs and local control; remote operations call same commands",working,"RemoteAgentActions exposes detail lifecycle actions; operations.rs validates pause/resume/clear/kill; RemoteMobileApp.test.tsx covers actions and kill confirmation",matched,Keep coverage
A002,agent actions,selected agent,Clone is supported by desktop/local control,working,"control.rs handles AgentClone and CLI has agent clone",dead_by_design,"RemoteAgentActions omits Clone; remote operations reject clone as unsupported_remote_agent_action; RemoteMobileApp.test.tsx and remote::operations tests cover the boundary",out_of_scope_for_pwa,Keep clone desktop-only unless mobile gets an explicit dedicated clone flow
A003,agent actions,multiple agents,Broadcast prompt dispatch exists in PWA store but is not exposed in mobile UI,working,"Desktop/CLI control supports send to all/class targets and command panel can dispatch to selected sessions",working,"RemoteWatchlistView.tsx exposes an explicit collapsed broadcast action; RemoteCommandBar.tsx confirms before dispatching useRemoteStore.broadcastPrompt; RemoteMobileApp.test.tsx covers the mobile broadcast prompt flow",matched,Keep mobile broadcast behind explicit confirmation to avoid accidental multi-agent sends
A004,agent actions,command intent,Slash command/as-command input mode is supported by CLI/control for single targets,working,"control.rs and CLI args support MessageInputMode::Command and --as-command restrictions",working,"RemoteAgentDetailView.tsx adds a selected-agent command-mode composer toggle; remoteClient/useRemoteStore send input_mode=command only for command sends; remote operations validate and dispatch MessageInputMode::Command; RemoteMobileApp.test.tsx and remote::operations tests cover it",matched,Keep command mode single-target only
A005,agent actions,off/headless/error states,Desktop chat disables prompt composer for off/headless/paused/error states,working,"AgentChatView.tsx inputDisabledReason blocks off/headless/paused/error",working,"RemoteAgentDetailView.tsx applies the same off/headless/paused/error disable rules to the PWA chat composer; RemoteMobileApp.test.tsx covers a headless selected agent",matched,Keep desktop and PWA composer disable rules aligned
R001,rendering,desktop terminal-only,Terminal file link provider opens local files in editor,working,"AgentTerminal.tsx installs terminal link provider; AgentTerminal.test.tsx covers configured external editor",dead_by_design,"Remote PWA has no local editor integration and should not open host filesystem paths from phone by default",out_of_scope_for_pwa,Leave desktop-only unless a secure remote file-view design is approved
R002,rendering,desktop terminal-only,WebGL renderer pooling/demotion protects many desktop terminals,working,"AgentTerminal.tsx renderer pool and tests cover reuse, demotion, and context release",dead_by_design,"Remote mobile uses a single attach terminal and no WebGL addon",out_of_scope_for_pwa,No PWA parity work needed
R003,queue/completions,terminal summaries,Desktop terminal output feeds queue summaries for completion triage,working,"AgentTerminal.tsx appends readable terminal output to queue store; AgentTerminal.test.tsx covers queue summaries and Gemini exclusion",working,"RemoteAgentDetailView.tsx feeds streamed OpenCode terminal output into useRemoteStore remote queue buffers; status-stream Idle transitions flush RemoteQueueView completion cards; RemoteMobileApp.test.tsx covers the PWA queue summary flow",matched,Remote queue is browser-local until a durable gateway queue endpoint is added
